model,variable,coefficient,p_value,ci_low,ci_high
Pairwise OLS: price ~ wind_speed_10m + shortwave_radiation,shortwave_radiation,-0.03876940265477502,5.54686069940468e-205,-0.04125064162841067,-0.03628816368113937
Pairwise OLS: price ~ wind_speed_10m + total_load,const,110.93470076635984,0.0,108.32765016164083,113.54175137107885
Pairwise OLS: price ~ wind_speed_10m + total_load,wind_speed_10m,-2.255471213008178,0.0,-2.328572961953858,-2.182369464062498
Pairwise OLS: price ~ wind_speed_10m + total_load,total_load,-0.00017630286149563075,0.08008902525953354,-0.00037373968445140993,2.1133961460148424e-05
Pairwise OLS: price ~ wind_speed_10m + generation_forecast,const,125.1199014003307,0.0,123.89822752286102,126.34157527780039
Pairwise OLS: price ~ wind_speed_10m + generation_forecast,wind_speed_10m,-5.376388049798807,0.0,-5.492290789101569,-5.260485310496046
Pairwise OLS: price ~ wind_speed_10m + generation_forecast,generation_forecast,0.025309865123899537,0.0,0.0245691948008755,0.026050535446923574
Pairwise OLS: price ~ shortwave_radiation + total_load,const,98.25410684940643,0.0,95.63018238870356,100.8780313101093
Pairwise OLS: price ~ shortwave_radiation + total_load,shortwave_radiation,-0.04497759273275282,5.295960915831373e-254,-0.047559398331010284,-0.04239578713449536
Pairwise OLS: price ~ shortwave_radiation + total_load,total_load,-0.0012994580209026681,1.1139016410262411e-35,-0.0015036494985815581,-0.0010952665432237781
Pairwise OLS: price ~ shortwave_radiation + generation_forecast,const,85.73660223875662,0.0,84.90360004010807,86.56960443740516
Pairwise OLS: price ~ shortwave_radiation + generation_forecast,shortwave_radiation,-0.044087068986280745,1.3176118989423347e-248,-0.04664545846495277,-0.04152867950760872
Pairwise OLS: price ~ shortwave_radiation + generation_forecast,generation_forecast,-0.0030129608961486356,7.013760833969322e-35,-0.0034920775566551166,-0.0025338442356421546
Pairwise OLS: price ~ total_load + generation_forecast,const,85.09830474149962,0.0,82.55276554008498,87.64384394291426
Pairwise OLS: price ~ total_load + generation_forecast,total_load,-0.0005342279826908296,1.912409359904804e-07,-0.0007352789348294372,-0.00033317703055222203
Pairwise OLS: price ~ total_load + generation_forecast,generation_forecast,-0.0017138924754855956,1.7294971521040016e-12,-0.0021899945354039896,-0.0012377904155672016
Multiple OLS A: price ~ weather + production,const,120.68294602187146,0.0,117.65722851218658,123.70866353155634
Multiple OLS A: price ~ weather + production,temperature_2m,0.15006803535965246,0.0007166065983326909,0.06313055988876691,0.237005510830538
Multiple OLS A: price ~ weather + production,cloud_cover,8.877990822946591,3.6695675016321675e-29,7.32615599132189,10.429825654571292
Multiple OLS A: price ~ weather + production,wind_speed_10m,-5.287152579274859,0.0,-5.410100526443263,-5.164204632106455
Multiple OLS A: price ~ weather + production,shortwave_radiation,-0.016006500251737808,1.6119984898019185e-24,-0.019075354982074064,-0.012937645521401551
Multiple OLS A: price ~ weather + production,total_load,-7.835427624338097e-05,0.44688155200788454,-0.00028025800167780994,0.00012354944919104797
Multiple OLS A: price ~ weather + production,generation_forecast,0.024039716195762503,0.0,0.02325774324508324,0.024821689146441766
Multiple OLS B: price ~ weather + production + calendar,const,217.25140985592407,0.0,213.40186749504832,221.1009522167998
Multiple OLS B: price ~ weather + production + calendar,temperature_2m,-0.07375036361375173,0.11554705240989173,-0.16560058281216253,0.01809985558465907
Multiple OLS B: price ~ weather + production + calendar,cloud_cover,-3.8818298048818716,7.595472040787187e-07,-5.420170219138865,-2.343489390624878
Multiple OLS B: price ~ weather + production + calendar,wind_speed_10m,-5.533704378585309,0.0,-5.653458144891937,-5.413950612278681
Multiple OLS B: price ~ weather + production + calendar,shortwave_radiation,-0.12435739467610504,0.0,-0.12878261283567133,-0.11993217651653877
Multiple OLS B: price ~ weather + production + calendar,total_load,-0.005652250780705034,0.0,-0.005885130747282079,-0.005419370814127989
Multiple OLS B: price ~ weather + production + calendar,generation_forecast,0.023455328019732512,0.0,0.022699496033008457,0.024211160006456567
Multiple OLS B: price ~ weather + production + calendar,hour_sin,-13.893063975991998,0.0,-14.586975441582652,-13.199152510401344
Multiple OLS B: price ~ weather + production + calendar,hour_cos,-37.95084820230151,0.0,-39.01604815772152,-36.885648246881495
Multiple OLS B: price ~ weather + production + calendar,day_of_week,-0.5834226730901849,0.0022994153417204926,-0.9585084440676569,-0.20833690211271294
Multiple OLS B: price ~ weather + production + calendar,month,1.3668464797831699,2.656279139586046e-78,1.223968789846619,1.5097241697197208
Multiple OLS B: price ~ weather + production + calendar,is_weekend,-23.62171055498681,4.490320002817996e-162,-25.32504304403652,-21.918378065937098
