"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"02/01/2015 05:45 - 02/01/2015 06:00","BZN|NL","8488.70","9121.25"
"02/01/2015 06:00 - 02/01/2015 06:15","BZN|NL","8741.83","9476.21"
"02/01/2015 06:15 - 02/01/2015 06:30","BZN|NL","9199.76","9806.95"
"02/01/2015 06:30 - 02/01/2015 06:45","BZN|NL","9637.65","10151.97"
"02/01/2015 06:45 - 02/01/2015 07:00","BZN|NL","9842.64","10528.97"
"02/01/2015 07:00 - 02/01/2015 07:15","BZN|NL","10283.93","11074.88"
"02/01/2015 07:15 - 02/01/2015 07:30","BZN|NL","10814.68","11574.49"
"02/01/2015 07:30 - 02/01/2015 07:45","BZN|NL","11250.72","12061.12"
"02/01/2015 07:45 - 02/01/2015 08:00","BZN|NL","11611.13","12480.66"
"02/01/2015 08:00 - 02/01/2015 08:15","BZN|NL","11934.39","12831.43"
"02/01/2015 08:15 - 02/01/2015 08:30","BZN|NL","12354.83","13121.79"
"02/01/2015 08:30 - 02/01/2015 08:45","BZN|NL","12680.62","13301.74"
"02/01/2015 08:45 - 02/01/2015 09:00","BZN|NL","12863.12","13488.07"
"02/01/2015 09:00 - 02/01/2015 09:15","BZN|NL","13018.83","13707.67"
"02/01/2015 09:15 - 02/01/2015 09:30","BZN|NL","13343.32","13855.39"
"02/01/2015 09:30 - 02/01/2015 09:45","BZN|NL","13607.47","13951.17"
"02/01/2015 09:45 - 02/01/2015 10:00","BZN|NL","13813.10","14082.03"
"02/01/2015 10:00 - 02/01/2015 10:15","BZN|NL","13973.37","14173.75"
"02/01/2015 10:15 - 02/01/2015 10:30","BZN|NL","14078.61","14208.87"
"02/01/2015 10:30 - 02/01/2015 10:45","BZN|NL","14080.75","14252.70"
"02/01/2015 10:45 - 02/01/2015 11:00","BZN|NL","14020.10","14291.59"
"02/01/2015 11:00 - 02/01/2015 11:15","BZN|NL","14021.82","14313.31"
"02/01/2015 11:15 - 02/01/2015 11:30","BZN|NL","14056.57","14313.44"
"02/01/2015 11:30 - 02/01/2015 11:45","BZN|NL","14006.84","14313.26"
"02/01/2015 11:45 - 02/01/2015 12:00","BZN|NL","14000.30","14313.33"
"02/01/2015 12:00 - 02/01/2015 12:15","BZN|NL","13944.75","14243.31"
"02/01/2015 12:15 - 02/01/2015 12:30","BZN|NL","13862.53","14192.57"
"02/01/2015 12:30 - 02/01/2015 12:45","BZN|NL","13742.45","14073.57"
"02/01/2015 12:45 - 02/01/2015 13:00","BZN|NL","13701.08","14006.59"
"02/01/2015 13:00 - 02/01/2015 13:15","BZN|NL","13633.66","13988.42"
"02/01/2015 13:15 - 02/01/2015 13:30","BZN|NL","13650.50","13997.46"
"02/01/2015 13:30 - 02/01/2015 13:45","BZN|NL","13526.59","13950.67"
"02/01/2015 13:45 - 02/01/2015 14:00","BZN|NL","13451.71","13911.47"
"02/01/2015 14:00 - 02/01/2015 14:15","BZN|NL","13480.33","13846.23"
"02/01/2015 14:15 - 02/01/2015 14:30","BZN|NL","13555.42","13815.87"
"02/01/2015 14:30 - 02/01/2015 14:45","BZN|NL","13561.12","13745.25"
"02/01/2015 14:45 - 02/01/2015 15:00","BZN|NL","13573.20","13696.26"
"02/01/2015 15:00 - 02/01/2015 15:15","BZN|NL","13689.79","13623.07"
"02/01/2015 15:15 - 02/01/2015 15:30","BZN|NL","13952.38","13619.51"
"02/01/2015 15:30 - 02/01/2015 15:45","BZN|NL","13939.63","13635.27"
"02/01/2015 15:45 - 02/01/2015 16:00","BZN|NL","14015.32","13671.38"
"02/01/2015 16:00 - 02/01/2015 16:15","BZN|NL","14012.80","13713.46"
"02/01/2015 16:15 - 02/01/2015 16:30","BZN|NL","13969.59","13899.33"
"02/01/2015 16:30 - 02/01/2015 16:45","BZN|NL","14241.84","14165.93"
"02/01/2015 16:45 - 02/01/2015 17:00","BZN|NL","14500.59","14623.59"
"02/01/2015 17:00 - 02/01/2015 17:15","BZN|NL","14803.93","14834.80"
"02/01/2015 17:15 - 02/01/2015 17:30","BZN|NL","14992.93","15008.02"
"02/01/2015 17:30 - 02/01/2015 17:45","BZN|NL","15307.26","15054.93"
"02/01/2015 17:45 - 02/01/2015 18:00","BZN|NL","15240.93","15013.92"
"02/01/2015 18:00 - 02/01/2015 18:15","BZN|NL","14715.57","14771.65"
"02/01/2015 18:15 - 02/01/2015 18:30","BZN|NL","14283.09","14590.62"
"02/01/2015 18:30 - 02/01/2015 18:45","BZN|NL","14189.00","14425.58"
"02/01/2015 18:45 - 02/01/2015 19:00","BZN|NL","14176.03","14298.87"
"02/01/2015 19:00 - 02/01/2015 19:15","BZN|NL","14117.75","14119.41"
"02/01/2015 19:15 - 02/01/2015 19:30","BZN|NL","13876.78","13954.66"
"02/01/2015 19:30 - 02/01/2015 19:45","BZN|NL","13776.05","13768.65"
"02/01/2015 19:45 - 02/01/2015 20:00","BZN|NL","13845.35","13648.80"
"02/01/2015 20:00 - 02/01/2015 20:15","BZN|NL","13705.49","13429.04"
"02/01/2015 20:15 - 02/01/2015 20:30","BZN|NL","13524.62","13252.31"
"02/01/2015 20:30 - 02/01/2015 20:45","BZN|NL","13323.34","13063.40"
"02/01/2015 20:45 - 02/01/2015 21:00","BZN|NL","13059.08","12874.11"
