"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"10/01/2015 23:00:00 - 11/01/2015 00:00:00","BZN|NL","Without Sequence","26.95","",""
"11/01/2015 00:00:00 - 11/01/2015 01:00:00","BZN|NL","Without Sequence","24.22","",""
"11/01/2015 01:00:00 - 11/01/2015 02:00:00","BZN|NL","Without Sequence","27.08","",""
"11/01/2015 02:00:00 - 11/01/2015 03:00:00","BZN|NL","Without Sequence","23.44","",""
"11/01/2015 03:00:00 - 11/01/2015 04:00:00","BZN|NL","Without Sequence","23.56","",""
"11/01/2015 04:00:00 - 11/01/2015 05:00:00","BZN|NL","Without Sequence","23.91","",""
"11/01/2015 05:00:00 - 11/01/2015 06:00:00","BZN|NL","Without Sequence","23.90","",""
"11/01/2015 06:00:00 - 11/01/2015 07:00:00","BZN|NL","Without Sequence","24.32","",""
"11/01/2015 07:00:00 - 11/01/2015 08:00:00","BZN|NL","Without Sequence","25.08","",""
"11/01/2015 08:00:00 - 11/01/2015 09:00:00","BZN|NL","Without Sequence","25.96","",""
"11/01/2015 09:00:00 - 11/01/2015 10:00:00","BZN|NL","Without Sequence","28.83","",""
"11/01/2015 10:00:00 - 11/01/2015 11:00:00","BZN|NL","Without Sequence","32.43","",""
"11/01/2015 11:00:00 - 11/01/2015 12:00:00","BZN|NL","Without Sequence","31.80","",""
"11/01/2015 12:00:00 - 11/01/2015 13:00:00","BZN|NL","Without Sequence","31.00","",""
"11/01/2015 13:00:00 - 11/01/2015 14:00:00","BZN|NL","Without Sequence","31.00","",""
"11/01/2015 14:00:00 - 11/01/2015 15:00:00","BZN|NL","Without Sequence","31.00","",""
"11/01/2015 15:00:00 - 11/01/2015 16:00:00","BZN|NL","Without Sequence","30.00","",""
"11/01/2015 16:00:00 - 11/01/2015 17:00:00","BZN|NL","Without Sequence","45.00","",""
"11/01/2015 17:00:00 - 11/01/2015 18:00:00","BZN|NL","Without Sequence","50.00","",""
"11/01/2015 18:00:00 - 11/01/2015 19:00:00","BZN|NL","Without Sequence","42.00","",""
"11/01/2015 19:00:00 - 11/01/2015 20:00:00","BZN|NL","Without Sequence","36.08","",""
"11/01/2015 20:00:00 - 11/01/2015 21:00:00","BZN|NL","Without Sequence","34.06","",""
"11/01/2015 21:00:00 - 11/01/2015 22:00:00","BZN|NL","Without Sequence","33.00","",""
"11/01/2015 22:00:00 - 11/01/2015 23:00:00","BZN|NL","Without Sequence","32.19","",""
"11/01/2015 23:00:00 - 12/01/2015 00:00:00","BZN|NL","Without Sequence","27.59","",""
"12/01/2015 00:00:00 - 12/01/2015 01:00:00","BZN|NL","Without Sequence","26.81","",""
"12/01/2015 01:00:00 - 12/01/2015 02:00:00","BZN|NL","Without Sequence","25.75","",""
"12/01/2015 02:00:00 - 12/01/2015 03:00:00","BZN|NL","Without Sequence","25.77","",""
"12/01/2015 03:00:00 - 12/01/2015 04:00:00","BZN|NL","Without Sequence","19.91","",""
"12/01/2015 04:00:00 - 12/01/2015 05:00:00","BZN|NL","Without Sequence","19.84","",""
"12/01/2015 05:00:00 - 12/01/2015 06:00:00","BZN|NL","Without Sequence","33.98","",""
"12/01/2015 06:00:00 - 12/01/2015 07:00:00","BZN|NL","Without Sequence","45.51","",""
"12/01/2015 07:00:00 - 12/01/2015 08:00:00","BZN|NL","Without Sequence","45.54","",""
"12/01/2015 08:00:00 - 12/01/2015 09:00:00","BZN|NL","Without Sequence","46.20","",""
"12/01/2015 09:00:00 - 12/01/2015 10:00:00","BZN|NL","Without Sequence","45.00","",""
"12/01/2015 10:00:00 - 12/01/2015 11:00:00","BZN|NL","Without Sequence","45.38","",""
"12/01/2015 11:00:00 - 12/01/2015 12:00:00","BZN|NL","Without Sequence","42.49","",""
"12/01/2015 12:00:00 - 12/01/2015 13:00:00","BZN|NL","Without Sequence","41.53","",""
"12/01/2015 13:00:00 - 12/01/2015 14:00:00","BZN|NL","Without Sequence","39.00","",""
"12/01/2015 14:00:00 - 12/01/2015 15:00:00","BZN|NL","Without Sequence","39.00","",""
"12/01/2015 15:00:00 - 12/01/2015 16:00:00","BZN|NL","Without Sequence","39.94","",""
"12/01/2015 16:00:00 - 12/01/2015 17:00:00","BZN|NL","Without Sequence","48.00","",""
"12/01/2015 17:00:00 - 12/01/2015 18:00:00","BZN|NL","Without Sequence","47.89","",""
"12/01/2015 18:00:00 - 12/01/2015 19:00:00","BZN|NL","Without Sequence","47.44","",""
"12/01/2015 19:00:00 - 12/01/2015 20:00:00","BZN|NL","Without Sequence","41.89","",""
"12/01/2015 20:00:00 - 12/01/2015 21:00:00","BZN|NL","Without Sequence","37.88","",""
"12/01/2015 21:00:00 - 12/01/2015 22:00:00","BZN|NL","Without Sequence","37.44","",""
"12/01/2015 22:00:00 - 12/01/2015 23:00:00","BZN|NL","Without Sequence","35.00","",""
"12/01/2015 23:00:00 - 13/01/2015 00:00:00","BZN|NL","Without Sequence","33.04","",""
"13/01/2015 00:00:00 - 13/01/2015 01:00:00","BZN|NL","Without Sequence","26.56","",""
"13/01/2015 01:00:00 - 13/01/2015 02:00:00","BZN|NL","Without Sequence","26.29","",""
"13/01/2015 02:00:00 - 13/01/2015 03:00:00","BZN|NL","Without Sequence","25.04","",""
"13/01/2015 03:00:00 - 13/01/2015 04:00:00","BZN|NL","Without Sequence","24.99","",""
"13/01/2015 04:00:00 - 13/01/2015 05:00:00","BZN|NL","Without Sequence","25.39","",""
"13/01/2015 05:00:00 - 13/01/2015 06:00:00","BZN|NL","Without Sequence","33.78","",""
"13/01/2015 06:00:00 - 13/01/2015 07:00:00","BZN|NL","Without Sequence","44.94","",""
"13/01/2015 07:00:00 - 13/01/2015 08:00:00","BZN|NL","Without Sequence","49.04","",""
"13/01/2015 08:00:00 - 13/01/2015 09:00:00","BZN|NL","Without Sequence","49.64","",""
"13/01/2015 09:00:00 - 13/01/2015 10:00:00","BZN|NL","Without Sequence","55.95","",""
"13/01/2015 10:00:00 - 13/01/2015 11:00:00","BZN|NL","Without Sequence","60.01","",""
"13/01/2015 11:00:00 - 13/01/2015 12:00:00","BZN|NL","Without Sequence","46.04","",""
"13/01/2015 12:00:00 - 13/01/2015 13:00:00","BZN|NL","Without Sequence","49.74","",""
"13/01/2015 13:00:00 - 13/01/2015 14:00:00","BZN|NL","Without Sequence","44.89","",""
"13/01/2015 14:00:00 - 13/01/2015 15:00:00","BZN|NL","Without Sequence","47.93","",""
"13/01/2015 15:00:00 - 13/01/2015 16:00:00","BZN|NL","Without Sequence","46.98","",""
"13/01/2015 16:00:00 - 13/01/2015 17:00:00","BZN|NL","Without Sequence","54.94","",""
"13/01/2015 17:00:00 - 13/01/2015 18:00:00","BZN|NL","Without Sequence","49.22","",""
"13/01/2015 18:00:00 - 13/01/2015 19:00:00","BZN|NL","Without Sequence","44.60","",""
"13/01/2015 19:00:00 - 13/01/2015 20:00:00","BZN|NL","Without Sequence","42.44","",""
"13/01/2015 20:00:00 - 13/01/2015 21:00:00","BZN|NL","Without Sequence","34.06","",""
"13/01/2015 21:00:00 - 13/01/2015 22:00:00","BZN|NL","Without Sequence","33.97","",""
"13/01/2015 22:00:00 - 13/01/2015 23:00:00","BZN|NL","Without Sequence","31.39","",""
"13/01/2015 23:00:00 - 14/01/2015 00:00:00","BZN|NL","Without Sequence","34.58","",""
"14/01/2015 00:00:00 - 14/01/2015 01:00:00","BZN|NL","Without Sequence","29.67","",""
"14/01/2015 01:00:00 - 14/01/2015 02:00:00","BZN|NL","Without Sequence","27.49","",""
"14/01/2015 02:00:00 - 14/01/2015 03:00:00","BZN|NL","Without Sequence","26.13","",""
"14/01/2015 03:00:00 - 14/01/2015 04:00:00","BZN|NL","Without Sequence","25.98","",""
"14/01/2015 04:00:00 - 14/01/2015 05:00:00","BZN|NL","Without Sequence","28.45","",""
"14/01/2015 05:00:00 - 14/01/2015 06:00:00","BZN|NL","Without Sequence","34.78","",""
