"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"02/01/2021 10:45:00 - 02/01/2021 11:00:00","BZN|NL","112.00","112.00"," ","112.90"
"02/01/2021 11:00:00 - 02/01/2021 11:15:00","BZN|NL","103.00","103.00"," ","116.68"
"02/01/2021 11:15:00 - 02/01/2021 11:30:00","BZN|NL","97.00","97.00"," ","120.07"
"02/01/2021 11:30:00 - 02/01/2021 11:45:00","BZN|NL","92.00","92.00"," ","112.83"
"02/01/2021 11:45:00 - 02/01/2021 12:00:00","BZN|NL","88.00","88.00"," ","106.65"
"02/01/2021 12:00:00 - 02/01/2021 12:15:00","BZN|NL","82.00","82.00"," ","104.25"
"02/01/2021 12:15:00 - 02/01/2021 12:30:00","BZN|NL","77.00","77.00"," ","108.52"
"02/01/2021 12:30:00 - 02/01/2021 12:45:00","BZN|NL","76.00","76.00"," ","107.98"
"02/01/2021 12:45:00 - 02/01/2021 13:00:00","BZN|NL","73.00","73.00"," ","106.32"
"02/01/2021 13:00:00 - 02/01/2021 13:15:00","BZN|NL","70.00","70.00"," ","100.46"
"02/01/2021 13:15:00 - 02/01/2021 13:30:00","BZN|NL","63.00","63.00"," ","96.37"
"02/01/2021 13:30:00 - 02/01/2021 13:45:00","BZN|NL","57.00","57.00"," ","94.39"
"02/01/2021 13:45:00 - 02/01/2021 14:00:00","BZN|NL","51.00","51.00"," ","94.42"
"02/01/2021 14:00:00 - 02/01/2021 14:15:00","BZN|NL","44.00","44.00"," ","98.45"
"02/01/2021 14:15:00 - 02/01/2021 14:30:00","BZN|NL","43.00","43.00"," ","100.73"
"02/01/2021 14:30:00 - 02/01/2021 14:45:00","BZN|NL","44.00","44.00"," ","102.74"
"02/01/2021 14:45:00 - 02/01/2021 15:00:00","BZN|NL","44.00","44.00"," ","101.45"
"02/01/2021 15:00:00 - 02/01/2021 15:15:00","BZN|NL","46.00","46.00"," ","94.67"
"02/01/2021 15:15:00 - 02/01/2021 15:30:00","BZN|NL","46.00","46.00"," ","88.90"
"02/01/2021 15:30:00 - 02/01/2021 15:45:00","BZN|NL","46.00","46.00"," ","86.07"
"02/01/2021 15:45:00 - 02/01/2021 16:00:00","BZN|NL","45.00","45.00"," ","81.39"
"02/01/2021 16:00:00 - 02/01/2021 16:15:00","BZN|NL","43.00","43.00"," ","74.93"
"02/01/2021 16:15:00 - 02/01/2021 16:30:00","BZN|NL","44.00","44.00"," ","67.35"
"02/01/2021 16:30:00 - 02/01/2021 16:45:00","BZN|NL","47.00","47.00"," ","72.39"
"02/01/2021 16:45:00 - 02/01/2021 17:00:00","BZN|NL","51.00","51.00"," ","63.34"
"02/01/2021 17:00:00 - 02/01/2021 17:15:00","BZN|NL","55.00","55.00"," ","71.98"
"02/01/2021 17:15:00 - 02/01/2021 17:30:00","BZN|NL","57.00","57.00"," ","81.73"
"02/01/2021 17:30:00 - 02/01/2021 17:45:00","BZN|NL","61.00","61.00"," ","83.45"
"02/01/2021 17:45:00 - 02/01/2021 18:00:00","BZN|NL","64.00","64.00"," ","83.87"
"02/01/2021 18:00:00 - 02/01/2021 18:15:00","BZN|NL","67.00","67.00"," ","86.41"
"02/01/2021 18:15:00 - 02/01/2021 18:30:00","BZN|NL","65.00","65.00"," ","89.51"
"02/01/2021 18:30:00 - 02/01/2021 18:45:00","BZN|NL","59.00","59.00"," ","87.25"
"02/01/2021 18:45:00 - 02/01/2021 19:00:00","BZN|NL","52.00","52.00"," ","92.18"
"02/01/2021 19:00:00 - 02/01/2021 19:15:00","BZN|NL","46.00","46.00"," ","99.98"
"02/01/2021 19:15:00 - 02/01/2021 19:30:00","BZN|NL","42.00","42.00"," ","94.57"
"02/01/2021 19:30:00 - 02/01/2021 19:45:00","BZN|NL","40.00","40.00"," ","89.28"
"02/01/2021 19:45:00 - 02/01/2021 20:00:00","BZN|NL","38.00","38.00"," ","86.20"
"02/01/2021 20:00:00 - 02/01/2021 20:15:00","BZN|NL","36.00","36.00"," ","85.33"
"02/01/2021 20:15:00 - 02/01/2021 20:30:00","BZN|NL","35.00","35.00"," ","83.31"
"02/01/2021 20:30:00 - 02/01/2021 20:45:00","BZN|NL","35.00","35.00"," ","80.05"
"02/01/2021 20:45:00 - 02/01/2021 21:00:00","BZN|NL","34.00","34.00"," ","80.89"
"02/01/2021 21:00:00 - 02/01/2021 21:15:00","BZN|NL","33.00","33.00"," ","83.58"
"02/01/2021 21:15:00 - 02/01/2021 21:30:00","BZN|NL","35.00","35.00"," ","82.37"
"02/01/2021 21:30:00 - 02/01/2021 21:45:00","BZN|NL","39.00","39.00"," ","78.86"
"02/01/2021 21:45:00 - 02/01/2021 22:00:00","BZN|NL","43.00","43.00"," ","79.57"
"02/01/2021 22:00:00 - 02/01/2021 22:15:00","BZN|NL","48.00","48.00"," ","82.59"
"02/01/2021 22:15:00 - 02/01/2021 22:30:00","BZN|NL","52.00","52.00"," ","82.55"
"02/01/2021 22:30:00 - 02/01/2021 22:45:00","BZN|NL","55.00","55.00"," ","82.02"
"02/01/2021 22:45:00 - 02/01/2021 23:00:00","BZN|NL","59.00","59.00"," ","81.78"
"02/01/2021 23:00:00 - 02/01/2021 23:15:00","BZN|NL","64.00","64.00"," ","82.13"
"02/01/2021 23:15:00 - 02/01/2021 23:30:00","BZN|NL","72.00","72.00"," ","82.89"
"02/01/2021 23:30:00 - 02/01/2021 23:45:00","BZN|NL","83.00","83.00"," ","83.45"
"02/01/2021 23:45:00 - 03/01/2021 00:00:00","BZN|NL","94.00","94.00"," ","82.28"
"03/01/2021 00:00:00 - 03/01/2021 00:15:00","BZN|NL","75.00","75.00"," ","87.81"
"03/01/2021 00:15:00 - 03/01/2021 00:30:00","BZN|NL","79.00","79.00"," ","88.67"
"03/01/2021 00:30:00 - 03/01/2021 00:45:00","BZN|NL","81.00","81.00"," ","92.06"
"03/01/2021 00:45:00 - 03/01/2021 01:00:00","BZN|NL","80.00","80.00"," ","92.70"
"03/01/2021 01:00:00 - 03/01/2021 01:15:00","BZN|NL","81.00","81.00"," ","95.52"
"03/01/2021 01:15:00 - 03/01/2021 01:30:00","BZN|NL","82.00","82.00"," ","95.89"
"03/01/2021 01:30:00 - 03/01/2021 01:45:00","BZN|NL","84.00","84.00"," ","98.33"
"03/01/2021 01:45:00 - 03/01/2021 02:00:00","BZN|NL","87.00","87.00"," ","98.88"
"03/01/2021 02:00:00 - 03/01/2021 02:15:00","BZN|NL","91.00","91.00"," ","102.92"
"03/01/2021 02:15:00 - 03/01/2021 02:30:00","BZN|NL","93.00","93.00"," ","106.00"
"03/01/2021 02:30:00 - 03/01/2021 02:45:00","BZN|NL","97.00","97.00"," ","107.49"
"03/01/2021 02:45:00 - 03/01/2021 03:00:00","BZN|NL","102.00","102.00"," ","116.62"
"03/01/2021 03:00:00 - 03/01/2021 03:15:00","BZN|NL","107.00","107.00"," ","131.21"
"03/01/2021 03:15:00 - 03/01/2021 03:30:00","BZN|NL","114.00","114.00"," ","131.34"
"03/01/2021 03:30:00 - 03/01/2021 03:45:00","BZN|NL","124.00","124.00"," ","131.02"
"03/01/2021 03:45:00 - 03/01/2021 04:00:00","BZN|NL","130.00","130.00"," ","129.41"
"03/01/2021 04:00:00 - 03/01/2021 04:15:00","BZN|NL","138.00","138.00"," ","138.14"
"03/01/2021 04:15:00 - 03/01/2021 04:30:00","BZN|NL","144.00","144.00"," ","144.12"
"03/01/2021 04:30:00 - 03/01/2021 04:45:00","BZN|NL","148.00","148.00"," ","151.59"
"03/01/2021 04:45:00 - 03/01/2021 05:00:00","BZN|NL","154.00","154.00"," ","152.14"
"03/01/2021 05:00:00 - 03/01/2021 05:15:00","BZN|NL","157.00","157.00"," ","156.89"
"03/01/2021 05:15:00 - 03/01/2021 05:30:00","BZN|NL","164.00","164.00"," ","164.43"
"03/01/2021 05:30:00 - 03/01/2021 05:45:00","BZN|NL","172.00","172.00"," ","177.88"
"03/01/2021 05:45:00 - 03/01/2021 06:00:00","BZN|NL","179.00","179.00"," ","188.15"
"03/01/2021 06:00:00 - 03/01/2021 06:15:00","BZN|NL","189.00","189.00"," ","205.58"
"03/01/2021 06:15:00 - 03/01/2021 06:30:00","BZN|NL","202.00","202.00"," ","220.30"
"03/01/2021 06:30:00 - 03/01/2021 06:45:00","BZN|NL","219.00","219.00"," ","225.89"
"03/01/2021 06:45:00 - 03/01/2021 07:00:00","BZN|NL","239.00","239.00"," ","237.28"
"03/01/2021 07:00:00 - 03/01/2021 07:15:00","BZN|NL","257.00","257.00"," ","235.68"
"03/01/2021 07:15:00 - 03/01/2021 07:30:00","BZN|NL","268.00","268.00"," ","242.25"
"03/01/2021 07:30:00 - 03/01/2021 07:45:00","BZN|NL","272.00","272.00"," ","242.52"
"03/01/2021 07:45:00 - 03/01/2021 08:00:00","BZN|NL","274.00","274.00"," ","247.18"
"03/01/2021 08:00:00 - 03/01/2021 08:15:00","BZN|NL","278.00","278.00"," ","258.35"
"03/01/2021 08:15:00 - 03/01/2021 08:30:00","BZN|NL","287.00","287.00"," ","283.12"
"03/01/2021 08:30:00 - 03/01/2021 08:45:00","BZN|NL","305.00","305.00"," ","298.35"
"03/01/2021 08:45:00 - 03/01/2021 09:00:00","BZN|NL","325.00","325.00"," ","287.74"
"03/01/2021 09:00:00 - 03/01/2021 09:15:00","BZN|NL","342.00","342.00"," ","286.43"
"03/01/2021 09:15:00 - 03/01/2021 09:30:00","BZN|NL","369.00","369.00"," ","273.37"
"03/01/2021 09:30:00 - 03/01/2021 09:45:00","BZN|NL","404.00","404.00"," ","292.79"
"03/01/2021 09:45:00 - 03/01/2021 10:00:00","BZN|NL","441.00","441.00"," ","297.80"
"03/01/2021 10:00:00 - 03/01/2021 10:15:00","BZN|NL","477.00","477.00"," ","292.72"
"03/01/2021 10:15:00 - 03/01/2021 10:30:00","BZN|NL","520.00","520.00"," ","287.64"
"03/01/2021 10:30:00 - 03/01/2021 10:45:00","BZN|NL","563.00","563.00"," ","284.63"
"03/01/2021 10:45:00 - 03/01/2021 11:00:00","BZN|NL","608.00","608.00"," ","295.86"
"03/01/2021 11:00:00 - 03/01/2021 11:15:00","BZN|NL","653.00","653.00"," ","289.76"
"03/01/2021 11:15:00 - 03/01/2021 11:30:00","BZN|NL","702.00","702.00"," ","312.15"
"03/01/2021 11:30:00 - 03/01/2021 11:45:00","BZN|NL","759.00","759.00"," ","322.04"
"03/01/2021 11:45:00 - 03/01/2021 12:00:00","BZN|NL","814.00","814.00"," ","339.53"
"03/01/2021 12:00:00 - 03/01/2021 12:15:00","BZN|NL","866.00","866.00"," ","351.63"
"03/01/2021 12:15:00 - 03/01/2021 12:30:00","BZN|NL","916.00","916.00"," ","375.81"
"03/01/2021 12:30:00 - 03/01/2021 12:45:00","BZN|NL","955.00","955.00"," ","399.92"
"03/01/2021 12:45:00 - 03/01/2021 13:00:00","BZN|NL","999.00","999.00"," ","438.08"
"03/01/2021 13:00:00 - 03/01/2021 13:15:00","BZN|NL","1041.00","1041.00"," ","481.78"
"03/01/2021 13:15:00 - 03/01/2021 13:30:00","BZN|NL","1067.00","1067.00"," ","543.73"
"03/01/2021 13:30:00 - 03/01/2021 13:45:00","BZN|NL","1087.00","1087.00"," ","570.34"
"03/01/2021 13:45:00 - 03/01/2021 14:00:00","BZN|NL","1105.00","1105.00"," ","585.68"
"03/01/2021 14:00:00 - 03/01/2021 14:15:00","BZN|NL","1121.00","1121.00"," ","630.47"
"03/01/2021 14:15:00 - 03/01/2021 14:30:00","BZN|NL","1148.00","1148.00"," ","653.69"
"03/01/2021 14:30:00 - 03/01/2021 14:45:00","BZN|NL","1185.00","1185.00"," ","672.52"
"03/01/2021 14:45:00 - 03/01/2021 15:00:00","BZN|NL","1221.00","1221.00"," ","697.60"
"03/01/2021 15:00:00 - 03/01/2021 15:15:00","BZN|NL","1256.00","1256.00"," ","723.96"
"03/01/2021 15:15:00 - 03/01/2021 15:30:00","BZN|NL","1285.00","1285.00"," ","763.48"
"03/01/2021 15:30:00 - 03/01/2021 15:45:00","BZN|NL","1307.00","1307.00"," ","778.41"
"03/01/2021 15:45:00 - 03/01/2021 16:00:00","BZN|NL","1327.00","1327.00"," ","785.29"
"03/01/2021 16:00:00 - 03/01/2021 16:15:00","BZN|NL","1350.00","1350.00"," ","799.58"
